16 1 [3,5,7] 1 10 0.7277500033378601
16 1 [3,5,7] 1 25 0.75
16 1 [3,5,7] 1 50 0.7792500257492065
16 1 [3,5,7] 2 10 0.7204999923706055
16 1 [3,5,7] 2 25 0.7574999928474426
16 1 [3,5,7] 2 50 0.7584999799728394
16 1 [3,5,7] 3 10 0.45274999737739563
16 1 [3,5,7] 3 25 0.7637500166893005
16 1 [3,5,7] 3 50 0.7522500157356262
24 1 [3,5,7] 1 10 0.7272499799728394
24 1 [3,5,7] 1 25 0.7617499828338623
24 1 [3,5,7] 1 50 0.7735000252723694
24 1 [3,5,7] 2 10 0.7307500243186951
24 1 [3,5,7] 2 25 0.7699999809265137
24 1 [3,5,7] 2 50 0.7394999861717224
24 1 [3,5,7] 3 10 0.7302500009536743
24 1 [3,5,7] 3 25 0.7742499709129333
24 1 [3,5,7] 3 50 0.765749990940094
32 1 [3,5,7] 1 10 0.7325000166893005
32 1 [3,5,7] 1 25 0.7697499990463257
32 1 [3,5,7] 1 50 0.7837499976158142
32 1 [3,5,7] 2 10 0.6729999780654907
32 1 [3,5,7] 2 25 0.7712500095367432
32 1 [3,5,7] 2 50 0.7825000286102295
32 1 [3,5,7] 3 10 0.7492499947547913
32 1 [3,5,7] 3 25 0.765749990940094
32 1 [3,5,7] 3 50 0.7677500247955322
16 2 [3,5,7] 1 10 0.7210000157356262
16 2 [3,5,7] 1 25 0.7894999980926514
16 2 [3,5,7] 1 50 0.8302500247955322
16 2 [3,5,7] 2 10 0.7607499957084656
16 2 [3,5,7] 2 25 0.7617499828338623
16 2 [3,5,7] 2 50 0.8174999952316284
16 2 [3,5,7] 3 10 0.7684999704360962
16 2 [3,5,7] 3 25 0.8002499938011169
16 2 [3,5,7] 3 50 0.8069999814033508
24 2 [3,5,7] 1 10 0.7404999732971191
24 2 [3,5,7] 1 25 0.8345000147819519
24 2 [3,5,7] 1 50 0.8205000162124634
24 2 [3,5,7] 2 10 0.7544999718666077
24 2 [3,5,7] 2 25 0.8402500152587891
24 2 [3,5,7] 2 50 0.828499972820282
24 2 [3,5,7] 3 10 0.7507500052452087
24 2 [3,5,7] 3 25 0.831250011920929
24 2 [3,5,7] 3 50 0.8019999861717224
32 2 [3,5,7] 1 10 0.8019999861717224
32 2 [3,5,7] 1 25 0.8322499990463257
32 2 [3,5,7] 1 50 0.8357499837875366
32 2 [3,5,7] 2 10 0.762499988079071
32 2 [3,5,7] 2 25 0.8342499732971191
32 2 [3,5,7] 2 50 0.8257499933242798
32 2 [3,5,7] 3 10 0.8059999942779541
32 2 [3,5,7] 3 25 0.796999990940094
32 2 [3,5,7] 3 50 0.8259999752044678
16 3 [3,5,7] 1 10 EXCEPTION
16 3 [3,5,7] 1 25 EXCEPTION
16 3 [3,5,7] 1 50 EXCEPTION
16 3 [3,5,7] 2 10 EXCEPTION
16 3 [3,5,7] 2 25 EXCEPTION
16 3 [3,5,7] 2 50 EXCEPTION
16 3 [3,5,7] 3 10 EXCEPTION
16 3 [3,5,7] 3 25 EXCEPTION
16 3 [3,5,7] 3 50 EXCEPTION
24 3 [3,5,7] 1 10 EXCEPTION
24 3 [3,5,7] 1 25 EXCEPTION
24 3 [3,5,7] 1 50 EXCEPTION
24 3 [3,5,7] 2 10 EXCEPTION
24 3 [3,5,7] 2 25 EXCEPTION
24 3 [3,5,7] 2 50 EXCEPTION
24 3 [3,5,7] 3 10 EXCEPTION
24 3 [3,5,7] 3 25 EXCEPTION
24 3 [3,5,7] 3 50 EXCEPTION
32 3 [3,5,7] 1 10 EXCEPTION
