16 1 [3,3,3] 1 10 0.7245000004768372
16 1 [3,3,3] 1 25 0.7745000123977661
16 1 [3,3,3] 1 50 0.7760000228881836
16 1 [3,3,3] 2 10 0.7164999842643738
16 1 [3,3,3] 2 25 0.7505000233650208
16 1 [3,3,3] 2 50 0.7645000219345093
16 1 [3,3,3] 3 10 0.5452499985694885
16 1 [3,3,3] 3 25 0.7597500085830688
16 1 [3,3,3] 3 50 0.7647500038146973
24 1 [3,3,3] 1 10 0.7440000176429749
24 1 [3,3,3] 1 25 0.7717499732971191
24 1 [3,3,3] 1 50 0.7825000286102295
24 1 [3,3,3] 2 10 0.7315000295639038
24 1 [3,3,3] 2 25 0.7732499837875366
24 1 [3,3,3] 2 50 0.768750011920929
24 1 [3,3,3] 3 10 0.7369999885559082
24 1 [3,3,3] 3 25 0.7447500228881836
24 1 [3,3,3] 3 50 0.7697499990463257
32 1 [3,3,3] 1 10 0.7557500004768372
32 1 [3,3,3] 1 25 0.7455000281333923
32 1 [3,3,3] 1 50 0.7124999761581421
32 1 [3,3,3] 2 10 0.7407500147819519
32 1 [3,3,3] 2 25 0.7572500109672546
32 1 [3,3,3] 2 50 0.7752500176429749
32 1 [3,3,3] 3 10 0.7335000038146973
32 1 [3,3,3] 3 25 0.7664999961853027
32 1 [3,3,3] 3 50 0.7727500200271606
16 2 [3,3,3] 1 10 0.7322499752044678
16 2 [3,3,3] 1 25 0.8019999861717224
16 2 [3,3,3] 1 50 0.8140000104904175
16 2 [3,3,3] 2 10 0.7197499871253967
16 2 [3,3,3] 2 25 0.7935000061988831
16 2 [3,3,3] 2 50 0.8119999766349792
16 2 [3,3,3] 3 10 0.7077500224113464
16 2 [3,3,3] 3 25 0.7902500033378601
16 2 [3,3,3] 3 50 0.8165000081062317
24 2 [3,3,3] 1 10 0.7580000162124634
24 2 [3,3,3] 1 25 0.7770000100135803
24 2 [3,3,3] 1 50 0.828249990940094
24 2 [3,3,3] 2 10 0.7857499718666077
24 2 [3,3,3] 2 25 0.8264999985694885
24 2 [3,3,3] 2 50 0.8169999718666077
24 2 [3,3,3] 3 10 0.7325000166893005
24 2 [3,3,3] 3 25 0.8337500095367432
24 2 [3,3,3] 3 50 0.8187500238418579
32 2 [3,3,3] 1 10 0.7617499828338623
32 2 [3,3,3] 1 25 0.8362500071525574
32 2 [3,3,3] 1 50 0.8397499918937683
32 2 [3,3,3] 2 10 0.796999990940094
32 2 [3,3,3] 2 25 0.8130000233650208
32 2 [3,3,3] 2 50 0.8324999809265137
32 2 [3,3,3] 3 10 0.7825000286102295
32 2 [3,3,3] 3 25 0.8262500166893005
32 2 [3,3,3] 3 50 0.8167499899864197
16 3 [3,3,3] 1 10 0.7645000219345093
16 3 [3,3,3] 1 25 0.7927500009536743
16 3 [3,3,3] 1 50 0.8234999775886536
16 3 [3,3,3] 2 10 0.7129999995231628
16 3 [3,3,3] 2 25 0.8015000224113464
16 3 [3,3,3] 2 50 0.8207499980926514
16 3 [3,3,3] 3 10 0.7167500257492065
16 3 [3,3,3] 3 25 0.8025000095367432
16 3 [3,3,3] 3 50 0.8034999966621399
24 3 [3,3,3] 1 10 0.7484999895095825
24 3 [3,3,3] 1 25 0.8187500238418579
24 3 [3,3,3] 1 50 0.8327500224113464
24 3 [3,3,3] 2 10 0.6865000128746033
24 3 [3,3,3] 2 25 0.8297500014305115
24 3 [3,3,3] 2 50 0.8222500085830688
24 3 [3,3,3] 3 10 0.7292500138282776
24 3 [3,3,3] 3 25 0.8184999823570251
24 3 [3,3,3] 3 50 0.827750027179718
32 3 [3,3,3] 1 10 0.7764999866485596
32 3 [3,3,3] 1 25 0.8367499709129333
32 3 [3,3,3] 1 50 0.8362500071525574
32 3 [3,3,3] 2 10 0.7807499766349792
32 3 [3,3,3] 2 25 0.8485000133514404
32 3 [3,3,3] 2 50 0.828499972820282
32 3 [3,3,3] 3 10 0.7662500143051147
32 3 [3,3,3] 3 25 0.8387500047683716
32 3 [3,3,3] 3 50 0.847000002861023
16 1 [3,3,5] 1 10 0.7400000095367432
16 1 [3,3,5] 1 25 0.749750018119812
16 1 [3,3,5] 1 50 0.7672500014305115
16 1 [3,3,5] 2 10 0.7147499918937683
16 1 [3,3,5] 2 25 0.7612500190734863
16 1 [3,3,5] 2 50 0.7637500166893005
16 1 [3,3,5] 3 10 0.7252500057220459
16 1 [3,3,5] 3 25 0.7475000023841858
16 1 [3,3,5] 3 50 0.7595000267028809
24 1 [3,3,5] 1 10 0.7300000190734863
24 1 [3,3,5] 1 25 0.765749990940094
24 1 [3,3,5] 1 50 0.7692499756813049
24 1 [3,3,5] 2 10 0.7124999761581421
24 1 [3,3,5] 2 25 0.7695000171661377
24 1 [3,3,5] 2 50 0.7637500166893005
24 1 [3,3,5] 3 10 0.7534999847412109
24 1 [3,3,5] 3 25 0.7692499756813049
24 1 [3,3,5] 3 50 0.7730000019073486
32 1 [3,3,5] 1 10 0.734499990940094
32 1 [3,3,5] 1 25 0.7717499732971191
32 1 [3,3,5] 1 50 0.7760000228881836
32 1 [3,3,5] 2 10 0.7490000128746033
32 1 [3,3,5] 2 25 0.6777499914169312
32 1 [3,3,5] 2 50 0.777999997138977
32 1 [3,3,5] 3 10 0.7352499961853027
32 1 [3,3,5] 3 25 0.7742499709129333
32 1 [3,3,5] 3 50 0.7509999871253967
16 2 [3,3,5] 1 10 0.753250002861023
16 2 [3,3,5] 1 25 0.7932500243186951
16 2 [3,3,5] 1 50 0.8252500295639038
16 2 [3,3,5] 2 10 0.722000002861023
16 2 [3,3,5] 2 25 0.8022500276565552
16 2 [3,3,5] 2 50 0.7897499799728394
16 2 [3,3,5] 3 10 0.7544999718666077
16 2 [3,3,5] 3 25 0.7857499718666077
16 2 [3,3,5] 3 50 0.8040000200271606
24 2 [3,3,5] 1 10 0.765999972820282
24 2 [3,3,5] 1 25 0.8192499876022339
24 2 [3,3,5] 1 50 0.8374999761581421
24 2 [3,3,5] 2 10 0.7512500286102295
24 2 [3,3,5] 2 25 0.8152499794960022
24 2 [3,3,5] 2 50 0.8177499771118164
24 2 [3,3,5] 3 10 0.7717499732971191
24 2 [3,3,5] 3 25 0.8267499804496765
24 2 [3,3,5] 3 50 0.8305000066757202
32 2 [3,3,5] 1 10 0.7674999833106995
32 2 [3,3,5] 1 25 0.8184999823570251
32 2 [3,3,5] 1 50 0.8262500166893005
